EC-Lab ASCII FILE
Nb header lines : 75                          

Galvanostatic Cycling with Potential Limitation 4

Run on channel : 12 (SN 2305)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = 0.00 V, max = 5.00 V
Acquisition started on : 08/07/2015 14:00:13
Saved on :
	File : 10cic_Cdiv15__03_GCPL4_C12.mpr
	Directory : C:\Users\Planta piloto 2\DATA\AnCla\Noe\Cup99_75_Al_NP3_vacmufla120C_L9_0T_07-08-15\
	Host : 192.168.0.2
Device : VMP3 (SN 0012)
Address : 192.168.0.1
EC-Lab for windows v10.40 (software)
Internet server v10.40 (firmware)
Command interpretor v10.40 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.001 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Ns                  0                   1                   2                   
Set I/C             I                   I                   I                   
Is                  0.000               0.000               -0.101              
unit Is             mA                  mA                  mA                  
vs.                 <None>              <None>              <None>              
N                   1.00                1.00                1.00                
I sign              > 0                 > 0                 > 0                 
I Range             10 mA               10 mA               10 mA               
Bandwidth           5                   5                   5                   
dE (mV)             0.00                0.00                0.00                
dt (s)              0.0000              10.0000             10.0000             
EM (V)              pass                4.200               1.500               
Im                  pass                pass                0.101               
unit Im             mA                  mA                  mA                  
dI/dt               0.000               0.000               0.000               
dunit dI/dt         mA/s                mA/s                mA/s                
E range min (V)     0.000               0.000               0.000               
E range max (V)     5.000               5.000               5.000               
dq                  0.000               1.000               1.000               
unit dq             mA.h                mA.h                mA.h                
dI                  0.000               10.000              10.000              
unit dI             µA                  µA                  µA                  
ts (h:m:s)          0:00:0.0000         0:00:0.0000         24:00:0.0000        
dQM                 0.000               0.000               0.000               
unit dQM            mA.h                mA.h                mA.h                
DxM                 0.000               0.000               0.000               
tR (h:m:s)          0:00:0.0000         0:00:0.0000         0:00:0.0000         
dER/dt (mV/h)       0.0                 0.0                 0.0                 
dER (mV)            0.00                0.00                0.00                
dtR (s)             0.1000              10.0000             10.0000             
EL (V)              pass                pass                pass                
goto Ns'            0                   0                   0                   
nc cycles           0                   0                   0                   

Number of loops : 10
Loop 0 from point number 0 to 3343
Loop 1 from point number 3344 to 5853
Loop 2 from point number 5854 to 7270
Loop 3 from point number 7271 to 8119
Loop 4 from point number 8120 to 8489
Loop 5 from point number 8490 to 8690
Loop 6 from point number 8691 to 8807
Loop 7 from point number 8808 to 8879
Loop 8 from point number 8880 to 8930
Loop 9 from point number 8931 to 8972

mode	ox/red	error	control changes	Ns changes	counter inc.	Ns	time/s	control/V/mA	Ewe/V	I/mA	(Q-Qo)/mA.h	Q charge/discharge/mA.h	half cycle	Capacitance charge/µF	Capacitance discharge/µF	dq/mA.h	Q discharge/mA.h	Q charge/mA.h	Capacity/mA.h	Efficiency/%	control/V	control/mA	cycle number	P/W
1	0	0	1	1	0	2	08/08/2015 02:41:16.6632	-0.101000004	4.20139837	0	0	0	0	0	0	0	0	0	0	XXX	XXX	-0.101000004	0	0
1	0	0	1	0	0	2	08/08/2015 02:41:26.6632	-0.101000004	4.12810993	-0.0996995717	-0.00027558938421238502	-0.00027558938421238502	0	0	0	-0.00027558938421238502	0.00027558938421238502	0	0.00027558938421238502	XXX	XXX	-0.101000004	0	0.0004115708
1	0	0	1	0	0	2	08/08/2015 02:41:36.6632	-0.101000004	4.10436296	-0.0995723307	-0.00055252853894452957	-0.00055252853894452957	0	0	83762.390108964741	-0.00027693915473214455	0.00055252853894452957	0	0.00055252853894452957	XXX	XXX	-0.101000004	0	0.000408680993
1	0	0	1	0	0	2	08/08/2015 02:41:46.6632	-0.101000004	4.0885129	-0.100272104	-0.00082953605839332649	-0.00082953605839332649	0	0	75418.016812828035	-0.00027700751944879692	0.00082953605839332649	0	0.00082953605839332649	XXX	XXX	-0.101000004	0	0.000409963803
1	0	0	1	0	0	2	08/08/2015 02:41:56.6632	-0.101000004	4.07607651	-0.101035476	-0.0011066674112653967	-0.0011066674112653967	0	0	76566.221197670297	-0.00027713135287207023	0.0011066674112653967	0	0.0011066674112653967	XXX	XXX	-0.101000004	0	0.00041182834
1	0	0	1	0	0	2	08/08/2015 02:42:06.6632	-0.101000004	4.06591034	-0.100462943	-0.0013838048499058091	-0.0013838048499058091	0	0	80092.123632900461	-0.0002771374386404124	0.0013838048499058091	0	0.0013838048499058091	XXX	XXX	-0.101000004	0	0.000408473308
1	0	0	1	0	0	2	08/08/2015 02:42:16.6632	-0.101000004	4.05658293	-0.0988725647	-0.0016609674198860497	-0.0016609674198860497	0	0	83597.555566061536	-0.00027716256998024059	0.0016609674198860497	0	0.0016609674198860497	XXX	XXX	-0.101000004	0	0.000401084748
1	0	0	1	0	0	2	08/08/2015 02:42:26.6632	-0.101000004	4.04855299	-0.0991906375	-0.0019381331530715367	-0.0019381331530715367	0	0	87701.703671289812	-0.00027716573318548694	0.0019381331530715367	0	0.0019381331530715367	XXX	XXX	-0.101000004	0	0.000401578553
1	0	0	1	0	0	2	08/08/2015 02:42:36.6632	-0.101000004	4.04117155	-0.0993814841	-0.0022151578662388365	-0.0022151578662388365	0	0	91726.671337103006	-0.0002770247131672998	0.0022151578662388365	0	0.0022151578662388365	XXX	XXX	-0.101000004	0	0.000401617639
1	0	0	1	0	0	2	08/08/2015 02:42:46.6632	-0.101000004	4.03411436	-0.0998904109	-0.0024922411474367317	-0.0024922411474367317	0	0	95452.030582860709	-0.00027708328119789528	0.0024922411474367317	0	0.0024922411474367317	XXX	XXX	-0.101000004	0	0.000402969337
1	0	0	1	0	0	2	08/08/2015 02:42:56.6632	-0.101000004	4.02766705	-0.0996359438	-0.0027692681400396267	-0.0027692681400396267	0	0	99254.070309685441	-0.00027702699260289494	0.0027692681400396267	0	0.0027692681400396267	XXX	XXX	-0.101000004	0	0.000401300407
1	0	0	1	0	0	2	08/08/2015 02:43:06.6632	-0.101000004	4.02160168	-0.0998904109	-0.0030462836396438716	-0.0030462836396438716	0	0	102964.98710090762	-0.00027701549960424494	0.0030462836396438716	0	0.0030462836396438716	XXX	XXX	-0.101000004	0	0.000401719444
1	0	0	1	0	0	2	08/08/2015 02:43:16.6632	-0.101000004	4.01586056	-0.0993178785	-0.0033233215246483193	-0.0033233215246483193	0	0	106583.73424161602	-0.00027703788500444771	0.0033233215246483193	0	0.0033233215246483193	XXX	XXX	-0.101000004	0	0.000398846751
1	0	0	1	0	0	2	08/08/2015 02:43:26.6632	-0.101000004	4.01046276	-0.0993814841	-0.0036004187939983607	-0.0036004187939983607	0	0	110172.71002746592	-0.00027709726935004142	0.0036004187939983607	0	0.0036004187939983607	XXX	XXX	-0.101000004	0	0.000398565753
1	0	0	1	0	0	2	08/08/2015 02:43:36.6632	-0.101000004	4.00517941	-0.0994450971	-0.0038774204114275053	-0.0038774204114275053	0	0	113549.61092301771	-0.00027700161742914451	0.0038774204114275053	0	0.0038774204114275053	XXX	XXX	-0.101000004	0	0.000398295466
1	0	0	1	0	0	2	08/08/2015 02:43:46.6632	-0.101000004	3.99995303	-0.100081258	-0.0041544123946661129	-0.0041544123946661129	0	0	116699.79980345538	-0.00027699198323860759	0.0041544123946661129	0	0.0041544123946661129	XXX	XXX	-0.101000004	0	0.000400320336
1	0	0	1	0	0	2	08/08/2015 02:43:56.6632	-0.101000004	3.99535608	-0.0995087251	-0.0044312238921271636	-0.0044312238921271636	0	0	120165.29937379053	-0.00027681149746105072	0.0044312238921271636	0	0.0044312238921271636	XXX	XXX	-0.101000004	0	0.000397572789
